{Par}ハートの宝玉を手に入れた！{/n},{Par}获得了心之宝玉！{/n}
ＨＰの最大値が増える！,ＨＰ最大值提升了！
だれに使う？,要对谁使用？
光{/n},光{/n}
海{/n},海{/n}
風{/n},风{/n}
{Par}光のＨＰの最大値が １増えた！{/n},{Par}光的ＨＰ最大值增加了1点！{/n}
{Par}海のＨＰの最大値が １増えた！{/n},{Par}海的ＨＰ最大值增加了1点！{/n}
{Par}風のＨＰの最大値が １増えた！{/n},{Par}风的ＨＰ最大值增加了1点！{/n}
{Par}まほうの宝玉を手に入れた！{/n},{Par}获得了魔法宝玉！{/n}
ＭＰの最大値が増える！,ＭＰ最大值提升了！
だれに使う？,要对谁使用？
光{/n},光{/n}
海{/n},海{/n}
風{/n},风{/n}
{Par}光のＭＰの最大値が １増えた！{/n},{Par}光的ＭＰ最大值增加了1点！{/n}
{Par}海のＭＰの最大値が １増えた！{/n},{Par}海的ＭＰ最大值增加了1点！{/n}
{Par}風のＭＰの最大値が １増えた！{/n},{Par}风的ＭＰ最大值增加了1点！{/n}
