{Par}三人とも、無事か？{/n}{/n},{Par}你们三个、都没事吧？{/n}{/n}
クレフ！{/n}だいじょうぶなの？{/n},克雷夫！{/n}你还好吗？{/n}
うむ。石にされてはしまったが、{/n}通信で おまえたちに{/n}助言くらいはしてやれるだろう。,嗯。虽然变成了石头、{/n}但还是能通过通信{/n}给你们一些建议。
沈黙の森に おりたったのならば、{/n}まず プレセアの家を探すがいい。{/n},既然已经降落在沉默之森、{/n}首先要找到普蕾西娅的家。{/n}
でも、何の手がかりもなく、{/n}いきなり探せといわれてもねぇ…。{/n},可是、毫无线索的情况下{/n}突然说要找也太…{/n}
プレセアの家は{/n}万が一のことが無いよう、{/n}深い森の奥に隠されている…。,普蕾西娅的家{/n}为了以防万一{/n}被隐藏在森林深处…
気の毒だが、気のきいた{/n}ヒントなどは やれんな。{/n},很遗憾、给不了什么{/n}像样的提示。{/n}
クレフって、意外とケチなのね！{/n}{/n},克雷夫原来这么小气啊！{/n}{/n}
{Par}沈黙の森に降り立ったのならば、{/n}まず プレセアの家を探すがいい。{/n},{Par}既然已经降落在沉默之森、{/n}首先要找到普蕾西娅的家。{/n}
でも、何の手がかりも{/n}教えてくれないんでしょ？{/n},可是、你什么线索{/n}都不能告诉我们对吧？{/n}
ご名答だ。{/n}{/n},回答正确。{/n}{/n}
{Par}プレセアの家を見つけたか。{/n}ならば、まずは{/n}プレセアに会わねばな。,{Par}找到普蕾西娅的家了吗。{/n}那么必须{/n}先见到普蕾西娅才行。
と申されましても…{/n}プレセアさんという方は{/n}どこにいらっしゃるのでしょう。,虽然您这么说…{/n}那位普蕾西娅小姐{/n}究竟身在何处呢？
姿が見えんのか。{/n}いったい どこを{/n}ほっつきあるいているやら…。,看不见身影吗。{/n}到底在什么地方{/n}闲逛呢…
{Par}急いで プレセアを探すのだ。{/n}{/n},{Par}要赶快去找普蕾西娅。{/n}{/n}
と申されましても…無断で{/n}ひとの家をうろつきまわるのは{/n}感心できませんわ。,虽然您这么说…{/n}擅自在别人家里乱逛{/n}实在有失体统。
今は非常事態だ。{/n}細かいことは気にしなくともよい。,现在是紧急事态。{/n}不必在意这些细节。
{Par}プレセアに会ったのか。{/n}ならば、プレセアの言うことを{/n}よく聞いて 行動するのだ。,{Par}见到普蕾西娅了吗。{/n}那就好好听从{/n}普蕾西娅的指示行动。
プレセアの話は 重要だ。{/n}ゆめゆめ、{/n}聞きもらしのないようにな。,普蕾西娅的话很重要。{/n}千万不要漏听了。{/n}
{Par}プレセアから武器を借りたなら、{/n}急いでエテルナの泉に向かうのだ。,{Par}如果从普蕾西娅那里借到武器、{/n}就立刻前往艾蒂露娜之泉。
沈黙の森は 迷いの森…{/n}心してかかるがいい。{/n},沉默之森是迷途之森…{/n}务必小心行事。{/n}
{Par}フェリオ⁉{/n},{Par}菲力欧⁉{/n}
ンン ゴホン！{/n}し…知らんな、そんな者は。{/n},嗯 咳咳！{/n}不…不认识那种人。{/n}
な、何 あわててるの、クレフ？{/n}{/n},你、你慌张什么啊、克雷夫？{/n}{/n}
{Par}何にせよ、そのフェリオなる者が{/n}協力してくれるというのなら{/n}ありがたいことだな。,{Par}总之、那个叫菲力欧的人{/n}愿意帮忙的话{/n}就再好不过了。
わたくしは信用できませんわ。{/n}あの方、おっしゃることが{/n}いいかげんなんですもの。,我可信不过那个人。{/n}那个人说话{/n}总是含糊其辞。
そうか…。しかし、{/n}沈黙の森を無事に出るには、{/n}助け合う必要があろう。,是吗…不过{/n}要想平安离开沉默之森、{/n}还是需要互相帮助的。
{Par}海…そして風、{/n}魔法は うまく使えたようだな。{/n},{Par}海…还有风、{/n}看来能熟练使用魔法了。{/n}
今後、おまえたちの行く手に{/n}なんらかの障害あるときは、{/n}魔法が 役に立つだろう。,你们在今后的旅途中{/n}遇到障碍的时候、{/n}魔法会派上用场的。
{Par}時が来れば、新たな魔法を{/n}おまえたちに伝えることも{/n}できるだろう。,{Par}时机成熟时、{/n}我也能将新的魔法{/n}传授给你们。
そのときを{/n}楽しみにしているぞ。{/n},我期待着{/n}那一刻的到来。{/n}
{Par}伝説の鉱物、エスクードが{/n}手に入ったのなら、{/n}急いで プレセアの元に戻るのだ。,{Par}若获得了传说矿物艾斯古托、{/n}就立刻返回普蕾西娅身边。{/n}
マジックナイトたる者だけが{/n}持つことを許される武器を{/n}創ってもらうためにな。,只有魔法骑士才{/n}有资格持有的武器{/n}需要由她来创造。
{Par}エスクードの武器を{/n}手に入れることができたようだな。,{Par}看来已经得到艾斯古托武器了。{/n}
これより本当の旅が始まるのだ。{/n}おまえたちが、真の{/n}マジックナイトになるためのな。,真正的旅程现在才开始。{/n}为了让你们成为{/n}真正的魔法骑士。
{Par}エメロード姫のさらわれたことを{/n}確たる情報として知る者は少ない。,{Par}艾美诺公主被掳之事{/n}确切知晓者寥寥无几。
村に入ったのなら、いたずらに{/n}人の不安をあおるようなことは{/n}口にしないようにな。,进入村庄后、切记{/n}不要随便说出{/n}会引发人们不安的言论。
やだ。{/n}そんなこと 軽々しく{/n}しゃべったりしないわよ？,才不会呢。{/n}怎么会随随便便{/n}说那种话啊？
そ、そうか。{/n}ならば、いいのだ。{/n},这、这样啊。{/n}那就好。{/n}
{Par}エメロード姫がさらわれた影響で、セフィーロの自然は乱れ、{/n}世界は崩壊へと近づいている。,{Par}由于艾美诺公主被掳走、{/n}锡菲罗的自然环境紊乱、{/n}世界正逐渐走向崩溃。
そして、人々の不安や あせる心が{/n}形となり、魔物となって{/n}あらわれてきているのだ。,而人们的不安与焦虑之心{/n}化为实体、以魔物的姿态{/n}开始出现在世间。
光、海、風… 真の{/n}マジックナイトとなるため、{/n}何を成すべきか…,光、海、风… 为了成为{/n}真正的魔法骑士、{/n}应该做些什么…
それを、考えてみてくれ。{/n}{/n},请好好思考这个问题。{/n}{/n}
{Par}勇気と力と知恵をあわせて、{/n}光、海、風よ…{/n}村人の願いをかなえるのだ。,{Par}结合勇气、力量与智慧、{/n}光、海、风啊…{/n}实现村民们的愿望吧。
行く手をさえぎる者があろうとも、必ずや 道は開けるはず。{/n},纵有阻碍在前、{/n}道路必将开辟。{/n}
もうちょっと 具体的に{/n}教えてほしいわねー。{/n},希望你能说一些{/n}更具体的建议啦～{/n}
む…考えておく。{/n}{/n},嗯…我会考虑的。{/n}{/n}
{Par}助走をつけると、ふだんよりも{/n}遠くへ とぶことができるぞ。{/n},{Par}助跑后可以跳得{/n}比平时更远。{/n}
基本的なことだが、{/n}忘れがちなのでな。{/n}一応 言っておく。,虽然是基本常识、{/n}但容易忘记。{/n}姑且提醒一下。
人間、初心を忘れちゃ{/n}いけないわよね。{/n}うん、うん。,人类、可不能{/n}忘记初心呢。{/n}嗯嗯。
さらに、四角い岩の中には{/n}力いっぱい押すと動かせるものが{/n}あるのだ。これも重要だ。,另外、有些方形岩石{/n}用力推就能移动。{/n}这点也很重要。
