{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}どうして 漁師をやめて、{/n}この村に引っ越してきたんだ？{/n},{Par}为什么要放弃渔夫的工作、{/n}搬到这个村子来呢？{/n}
なぜ そんなことを{/n}話さねばならない？{/n}おまえたちには関係ないだろう。,为什么非得告诉你们{/n}这种事不可？{/n}和你们没关系吧。
どうしても あの海を{/n}渡らなきゃいけないんだ！{/n},我们无论如何都必须{/n}要渡过那片海！{/n}
… … …{/n}{/n},… … …{/n}{/n}
ある女の子の飼ってた動物が{/n}海に落ちて…急流にのまれた…{/n},有个女孩饲养的动物{/n}掉进海里…被激流卷走了…{/n}
オレは 助けに飛び込んだが…{/n}間に合わなかった…。{/n},虽然我跳下去救它…{/n}可是来不及了…。{/n}
その女の子は ひとり戻ってきた{/n}オレを責めた…あの涙にくれた{/n}目が オレは忘れられないんだ…。,那个女孩责备了独自回来的我…{/n}那双含泪水的眼睛{/n}我无论如何都忘不掉…。
多少 泳ぎができるからと{/n}思い上がっていたが…{/n}オレは 役立たずな人間だ！,自以为稍微会点游泳{/n}就得意忘形…{/n}结果我根本是个废物！
もうオレには 漁を続ける{/n}自信がない…もうやめたんだ！{/n}だから かまわないでくれ！,我已经没有自信{/n}继续打渔了…所以不干了！{/n}别来烦我！
もしかして その女の子って、{/n}セラっていう方なのでは…？{/n},难道说那个女孩…{/n}是叫塞拉吗…？{/n}
な、なぜ知っている？{/n}{/n},你、你们怎么会知道？{/n}{/n}
…あっきれた。情けないわね！{/n}{/n},…真受不了。太没出息了！{/n}{/n}
なんだと{var3}{/n}おまえたちに 何がわかる！{/n},说什么呢{var3}{/n}你们懂什么！{/n}
セラは 悲しみに{/n}負けはしなかったわ！{/n},塞拉可没有{/n}被悲伤击垮哦！{/n}
どんなに村のみんなに{/n}つらく あたられようと、{/n}新しい命を育ててる！,不管村里人再怎么{/n}刻薄地对待她、{/n}她还是在培育新的生命！
あなたは、{/n}過去の自分にしばられて、{/n}おびえているだけじゃない！,而你只是被{/n}过去的自己束缚住、{/n}在胆怯逃避而已！
… … …！{/n}{/n},… … …！{/n}{/n}
行きましょ、光、風！{/n}{/n},走吧、光、风！{/n}{/n}
えっ…{/n}{/n},哎…{/n}{/n}
でも…{/n}{/n},可是…{/n}{/n}
こんな いじけたヤツに{/n}教わることなんて{/n}何もないわ！,像这种窝囊废{/n}根本就没什么{/n}能教我们的！
{Par}あーもう！{/n}うじうじしてるのって{/n}イライラするのよね！,{Par}啊真是的！{/n}磨磨唧唧的样子{/n}真让人火大！
でも…これから{/n}どうするんですの？{/n},可是…接下来{/n}要怎么办呢？{/n}
あの人に 泳ぎを{/n}教わらなかったら、{/n}氷の島に行けないんだろ？,不向那个人学游泳的话、{/n}就去不了冰之岛了吧？{/n}
ん…な、何とかなるわよ！{/n}{/n},哼…总、总会有办法的！{/n}{/n}
それは ちょっと{/n}ムリがあると思いますが…。{/n},这实在有点{/n}强人所难呢…。{/n}
