{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}やはり…ザガートの手の者か{var3}{/n}{/n},{Par}果然是…扎加特的手下吗{var3}{/n}{/n}
おじょうちゃん ３人組のつもり{/n}やったのに、なんや 別のんが{/n}ひっかかってしもうたわ。,本来想抓那三个小姑娘{/n}结果不小心钓到别的杂鱼了嘛。{/n}
…ま、かまへん。{/n}{/n},…嘛、无所谓。{/n}{/n}
そういえば、おまえは{/n}うちが 村のやつらに術かけるのん{/n}ジャマしたヤツやないの。,说起来你小子不就是{/n}在村里妨碍老娘对村民{/n}施法术的家伙嘛。
あん時、おまえのドヘタな{/n}笛のせいで、女どもには{/n}うちの術が かからへんかった。,都怪你那蹩脚的破笛子、{/n}害得老娘的咒术对女人们失效了。{/n}
うっとおしい 思とったんや！{/n}このあほ！{/n},烦死人了啊！{/n}蠢货！{/n}
{Par}フェリオっ！{/n}{/n},{Par}菲力欧！{/n}{/n}
おまえら…！{/n}{/n},你们几个…！{/n}{/n}
なんや あんたらも{/n}来たんかいな。ちょうどええわ！{/n}まとめて カタつけたる{var4},怎么连你们也来了啊。{/n}正好！{/n}一块儿收拾掉{var4}
はん！ てめえなんか、{/n}オレひとりで 充分だ！{/n},呸！对付你这种货色、{/n}老子一个人绰绰有余！{/n}
何 カッコつけてんねん！{/n}{/n},装什么帅啊！{/n}{/n}
フフフ…実はな、{/n}ザガートの子分さんよ！{/n},呵呵呵…老实说吧、{/n}扎加特的手下！{/n}
村の男を とりこにし、{/n}あやつる その手口！{/n},操控村里男人的{/n}那些卑劣手段！{/n}
オレも かなり{/n}気にいらねぇんだ！{/n}お互い様だったな{var4},老子也看得相当不爽啊！{/n}彼此彼此啦{var4}{/n}
…うちの名前はなァ、{/n}カルディナっちゅーんや。{/n},…老娘的名字叫{/n}卡尔汀娜。{/n}
まぁ、別に覚えんでもかまへん。{/n}{/n},嘛、记不记得住都无所谓。{/n}{/n}
おまえら みんな{/n}ここで 死ぬんやさかいなァ！{/n},反正你们所有人{/n}都要死在这里啦！{/n}
ぬかせ！ 来な{var4}{/n}{/n},少废话！放马过来{var4}{/n}{/n}
フェリオさんっ！{/n}{/n},菲力欧先生！{/n}{/n}
さがってろ、風ッ！{/n}{/n},退后、风！{/n}{/n}
そ、そうは いきませんわっ！{/n}{/n},这、这可不行！{/n}{/n}
ふん…おじょうちゃんたちも{/n}やるっちゅーんかい。よっしゃ、{/n}まとめてめんどうみたるわ！,哼…小姑娘们{/n}也想打架是吧。行啊、{/n}老娘就一起送你们上路！
