{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}わざわざ 共にいてくれるとは{/n}手間が省けるな。{/n},{Par}特意聚在一起{/n}倒是省了我不少功夫呢。{/n}
イノーバ！,伊诺巴！
ラファーガ！{/n}このヨロイを受け取れ！{/n},拉法格！{/n}收下这副盔甲！{/n}
{Par}うがあっ！,{Par}呜嘎啊！
ラファーガに何をした！{/n}{/n},你对拉法格做了什么！{/n}{/n}
これで ザガート様の洗脳は{/n}何者にも おかされない。{/n},这样一来{/n}扎加特大人的洗脑{/n}就无人能解除了。
ラファーガよ…{/n}{var0}たちに 死を！{/n},拉法格啊…{/n}赐予{var0}们死亡吧！{/n}
お待ちッ！,且慢！
{Par}アルシオーネか…{/n}何の用だ？{/n},{Par}阿尔希欧蕾么…{/n}有何贵干？{/n}
{var0}の卵さんたちは{/n}わたしの獲物！ よけいな{/n}手出しは 無用に願いたいわ。,{var0}的菜鸟们{/n}可是我的猎物！{/n}劝你别多管闲事哟。
ふん、その獲物を狩るに 貴様、{/n}どれだけの失態を ザガート様に{/n}お見せすれば 気がすむのか{var3},哼、为了狩猎这些猎物、{/n}你这家伙究竟要给扎加特大人{/n}添多少乱才满意{var3}
おだまりっ！{/n}{/n},闭嘴！{/n}{/n}
わたしは こんなでくのぼうに{/n}獲物を取られるわけには{/n}いかないのよ！,我怎么可能{/n}让这种傀儡抢走猎物啊！{/n}
今度こそ わたしが{/n}あの三人を倒し、晴れて{/n}ザガート様に報告するのだから！,这次定要由我亲手{/n}解决那三人、从而光荣地{/n}向扎加特大人复命！
ラファーガとか言うの？{/n}あの でくのぼうは。{/n},叫拉法格的那个？{/n}不过是提线木偶罢了。{/n}
ジャマよっ！{/n}{/n},碍事死啦！{/n}{/n}
