{Par}クレフと{/n}{/n},{Par}克雷夫与{/n}{/n}
プレセアの{/n}{/n},普蕾西娅的{/n}{/n}
ふしぎセフィーロ講座ぁ！{/n}{/n},奇妙锡菲罗讲座！{/n}{/n}
光たちは＜瞬発疾行脚＞という{/n}技を手に入れましたね。{/n},光她们习得了名为{/n}＜瞬发疾行脚＞的技能呢。{/n}
うむ。助走なしに 最高速で{/n}走り出せる 便利な技だな。{/n},嗯。这是无需助跑{/n}便能以最高速起步的{/n}便利技能啊。
ダッシュボタンを押し続け、{/n}そして離すことにより、たまった{/n}スピードが解放されるのだ。,持续按住冲刺按钮、{/n}再松开时便能解放{/n}积蓄的力量。
これは＜重衝粉砕弾＞と{/n}組み合わせると便利ですね！{/n},这与＜重冲粉碎弹＞{/n}组合使用会很便利呢！{/n}
うむ。助走なしに 障害物が{/n}ドカーン！だからな。{/n}便利な技は 使いようだ。,嗯。无需助跑就能对障碍物{/n}直接「轰隆！」解决。{/n}便利的技能要看怎么使用呢。
今まで ドカーン！できなかった{/n}ところも、できるようになった{/n}かもしれませんね！,至今无法「轰隆！」的地方{/n}或许也能成功突破了！{/n}
その通りだ。{/n}{/n},正是如此。{/n}{/n}
それでは、今回はこの辺で。{/n}ひきつづき ゲームを{/n}お楽しみください！,那么本次讲座就到这里。{/n}请继续享受{/n}游戏的乐趣吧！
またあおう！{/n}{/n},后会有期！{/n}{/n}
