{Par}アッとおどろく 新事実！{/n}{/n},{Par}吓你们一跳的新事实！{/n}{/n}
実は わしは{/n}このセフィーロの人では{/n}なかったのじゃ！,其实老朽根本就{/n}不是锡菲罗的人啊！{/n}
別の世界から来た人だったのじゃ！{/n},而是从别的世界来的人！{/n}
…あんまり おどろいていないな。{/n}けっこう めずらしいことだと{/n}思うんじゃが…まあ よい。,…你们好像不怎么惊讶呢。{/n}明明应该是相当稀奇的事…{/n}算了、这样也罢。
わしは、セフィーロが{/n}自然豊かで 気候の暖かい{/n}すばらしいところと聞き…,老朽听说锡菲罗是一个{/n}自然丰饶、气候温暖的好地方…{/n}
とある世界から はるばる{/n}観光にやってきたのじゃ。{/n},所以特意从某个世界{/n}千里迢迢来观光旅行的啊。{/n}
じゃが、セフィーロは{/n}ウワサと違い、荒れ果てて{/n}気候の不安定なところじゃった！,谁知锡菲罗竟和传闻不同、{/n}竟然是如此荒芜凋敝、{/n}气候又不稳定的地方！
わしは セフィーロに来る途中{/n}嵐にあい、自分の国に行き来できるアイテムをこわしてしまった！,老朽来锡菲罗的途中{/n}遭遇暴风雨、把能往返{/n}自己国家的道具弄坏了！
そのアイテムは くだけちり、{/n}風にのって 四方八方へと{/n}ちりぢりに飛んでいってしまった…,那道具碎成粉末、{/n}随风飘散到四面八方去了…{/n}
そう…{/n}それが「虹のアミュレット」…{/n},没错…{/n}那就是「彩虹护身符」…{/n}
これで わしは 自分の世界に{/n}帰ることができる…{/n}ありがとうよ。,这下老朽终于能{/n}回到自己的世界了…{/n}多谢你们啊。
…「最後の願い」とは、{/n}わしの「最後の願い」のこと{/n}だったのじゃ！,…所谓「最后的愿望」、{/n}指的就是老朽「最后的愿望」啊！{/n}
{Par}まぁまぁ、そう おこるな。{/n}礼はする。{/n},{Par}哎呀哎呀、别这么生气嘛。{/n}会好好答谢你们的。{/n}
うむ…まずは、{/n}おまえたちの使命を{/n}やりとげることじゃ。,唔…首先、{/n}你们得完成自己的使命才行。{/n}
さすれば、そのあとに{/n}ちょっと うれしいことが{/n}待っているよう取りはからおう。,等事情办妥以后、{/n}老朽会安排一些{/n}小小的惊喜等着你们。
言っておくが、{/n}あまり 期待してはいかんぞ？{/n},不过话说在前头、{/n}可别抱太大期待哦？{/n}
アミュレット集め、{/n}真に ご苦労であった。{/n}感謝するぞ。,收集护身符、{/n}真是辛苦你们了。{/n}老朽感激不尽。
では、さらばじゃ！{/n}{/n},那么、就此别过！{/n}{/n}
