{Par}なんじら、旅の行く手を{/n}見失ったときは、{/n}わしが占ってくれようぞ。,{Par}若尔等迷失旅途方向、{/n}便让老朽来占上一卦吧。{/n}
さぁて、二つの占いの書があるが、どちらを用いての占いが{/n}おのぞみかな？,那么、现有占卜书两卷、{/n}尔等要选哪一卷来占卜呢？
欠けた占いの書    宝石  ５{/n},残破的占卜书    宝石  ５{/n}
丸い占いの書      宝石２０{/n},完整的占卜书    宝石２０{/n}
どちらも のぞんでいない{/n},都不需要{/n}
{Par}そうか。{/n}困ったときは、{/n}わしを思い出すが よかろう。,{Par}也罢。{/n}若遇困顿、{/n}记得来寻老朽便是。
{Par}よろしい。{/n}さすれば しばし待たれよ。{/n}んんん…かーーーっ！,{Par}甚好。{/n}既如此、请稍候。{/n}嗯嗯…哈——！
{Par}よろしい。{/n}さすれば しばし待たれよ。{/n}んんん…かーーーっ！,{Par}甚好。{/n}既如此、请稍候。{/n}嗯嗯…哈——！
{Par}あちこち 見聞してみることじゃ。{/n}さすれば、見えなかったものも{/n}見えてくるというものよ。,{Par}当广见闻、勤探访。{/n}如此方可得见{/n}先前未曾察觉之物。
{Par}困る者あれば助ける…{/n}それ 人の道というものよ。{/n},{Par}见困者则助之…{/n}此乃人道之常也。{/n}
{Par}どうくつの中に 光る目がある。{/n}この輝きさえ 消せれば…{/n},{Par}洞窟深处 有光之目闪烁。{/n}若能使其光辉黯灭…{/n}
{Par}一つの終わりは{/n}次なるものの始まり。{/n}それが世の常よ。,{Par}一物之终结{/n}即是一物之开端。{/n}此乃世间常理。
なんじらの旅も例外ではない。{/n}{/n},尔等旅程亦不例外。{/n}{/n}
{Par}なんじらの旅の{/n}助けになる者がいるようじゃ。{/n}それを さがすがよかろう。,{Par}似有能助尔等旅途{/n}一臂之力之人。{/n}不妨寻访之。
{Par}その者の心に変化が見られる。{/n}{/n},{Par}那人的心境似乎起了变化。{/n}{/n}
なんじらの行いは{/n}ムダではなかったということじゃ。,说明尔等作为{/n}并非徒劳无功。
{Par}なんじらの望む物は{/n}はるかな流れの先に…。{/n},{Par}尔等所求之物位于{/n}遥远洪流的前方…。{/n}
勇気を持ちて、{/n}その流れに身を投じるのだ。{/n},鼓起勇气、{/n}投身于激流之中吧。{/n}
{Par}まがまがしきものが{/n}天から 飛来する。{/n},{Par}不祥之物{/n}正从天而降。{/n}
これを倒そうとも 倒すまいとも{/n}後悔の念 去ることなし。{/n},无论讨伐与否{/n}都将留下悔恨之念。{/n}
さすれば、{/n}光 見えるのは 前者である。{/n},但若选择前者{/n}方能得见光明。{/n}
{Par}見知らぬ土地に 足を{/n}ふみ入れたならば、何事につけ{/n}情報を集めることが 第一じゃ。,{Par}踏上陌生土地时{/n}首要之事便是收集情报。{/n}
その土地の風土、人々の気質、{/n}起きた事件などを知れば、おのずとなすべきことも見えてこようぞ。,了解当地风土人情、{/n}与事件始末后、{/n}该做的事自会浮现。
{Par}ほぅ！,{Par}哦呀！
あいや、これは失礼。{/n}{/n},哎呀、失礼了。{/n}{/n}
この度は{/n}ナイスバディな者の姿が見ゆる。{/n},此番占卜显现出{/n}身姿曼妙之人。{/n}
ただし、これは{/n}よからぬ たくらみの持ち主。{/n}心してかかるがよい。,然其心藏奸邪{/n}务必谨慎以待。{/n}
{Par}なんじらの働きで{/n}ローゼンの男たちも{/n}正気に戻ったようじゃの。,{Par}托尔等的福、{/n}罗森的男人们{/n}似乎已恢复神智。
