{Par}早く エテルナの泉に行って、{/n}伝説の鉱物、エスクードを{/n}持って帰ってらっしゃい。,{Par}快去 艾蒂露娜之泉、{/n}把传说中的矿物{/n}艾斯古托带回来吧。
すばらしい武器を{/n}創ってあげるからね！{/n},我会为你们创造{/n}超棒的武器哦！{/n}
{Par}むずかしそうな本が{/n}いっぱいだ。{/n},{Par}看起来很难懂的书{/n}堆了好多呢。{/n}
{Par}何語で書いてあるのかしら、これ？{/n},{Par}这是用哪种语言写的呢？{/n}
{Par}見たこともない字で書かれている{/n}本ですわ。セフィーロの言語体系はどうなっているのでしょうか？,{Par}都是用没见过的文字书写的{/n}书本呢。锡菲罗的语言体系{/n}究竟是什么样的呢？
{Par}はしごだ。{/n}こういうのを見ると{/n}のぼりたくなっちゃうなぁ。,{Par}是梯子呀。{/n}一看到这种东西{/n}就忍不住想爬上去呢。
{Par}はしごがあるわ。{/n}高いところにある本を取るときは{/n}必要ですものね。,{Par}这里有梯子呢。{/n}要拿高处书本的时候{/n}确实需要这个呢。
{Par}はしごですわ。こういったものは{/n}わたくしたちの世界と{/n}変わりありませんわね。,{Par}是梯子呢。这样的东西{/n}和我们的世界{/n}也没什么不同嘛。
{Par}大きい机の上に{/n}本がのっているよ。{/n},{Par}大书桌上{/n}摆着书呢。{/n}
{Par}机の上に本が置きっぱなしだわ。{/n}プレセアって、{/n}意外とだらしなかったりして。,{Par}书桌上放着本书没收拾呢。{/n}普蕾西娅该不会…{/n}意外地邋遢吧？
{Par}赤い表紙の本が置いてありますわ。いったい どういう{/n}内容なんでしょう。,{Par}放着红色封面的书呢。{/n}到底是写什么内容的呢。{/n}
{Par}スタンドライトだ。{/n}つけっぱなしは いけないなぁ。{/n},{Par}是台灯呀。{/n}可不能一直开着呢。{/n}
{Par}明るすぎず暗すぎず、{/n}落ちついた いい照明ね。{/n},{Par}既不太亮也不太暗、{/n}让人安心的好灯光呢。{/n}
{Par}電気が来ているようにも{/n}見えないし、どうやって{/n}光ってるんでしょう、これ。,{Par}看起来不像有通电、{/n}这个到底是怎么发光的呢。{/n}
{Par}武器が いっぱい かかってる。{/n}{/n},{Par}挂着好多武器啊。{/n}{/n}
{Par}武器がおいてあるわ。{/n}いっぱいあるわねぇ！{/n},{Par}这里放着武器呢。{/n}真的很多啊！{/n}
{Par}武器が たくさん並んでいますわ。{/n}なんだか ものものしい{/n}ふんいきですわね。,{Par}排列着好多武器呢。{/n}总觉得有种{/n}剑拔弩张的氛围呢。
{Par}ここには武器が{/n}かかっていないね。{/n},{Par}这里没有{/n}挂着武器呢。{/n}
{Par}ここには めずらしく{/n}武器をおいていないわね。{/n},{Par}这里难得地{/n}没摆着武器呢。{/n}
{Par}ここには武器が{/n}おいてありませんわね。{/n}予備に空けてあるのでしょうか？,{Par}这里没有摆放武器呢…{/n}是预留的空位吗？{/n}
{Par}ここは いったい何だろう？{/n}{/n},{Par}这到底是什么呀？{/n}{/n}
{Par}この段の上で だれか踊るのかしら{/n}…って、何で 武器庫に{/n}そんなステージがあるのよぅ！,{Par}这段台阶上难道有人要跳舞吗{/n}…话说回来、为什么武器库里{/n}会有这种舞台啊！
{Par}これは何でしょう？{/n}奥にあるのは扉のようでは{/n}ありませんけれど。,{Par}这是什么呀？{/n}深处那个像是门{/n}但又不太像呢。
