{Par}マジックナイト,{Par}魔法骑士
{Par}♨,{Par}♨
{Par}♥,{Par}♥
{Par}⁉,{Par}⁉
{Par}‼,{Par}‼
{Par}ここは ローゼンの村。{/n}{/n},{Par}这里是 罗森村。{/n}{/n}
旅芸人たちは 村を{/n}出ていったみたいよ。{/n},云游艺人们好像{/n}已经离开村子了哦。{/n}
{Par}旅の踊り子は{/n}出ていきおったか。{/n},{Par}旅行的舞娘{/n}已经离去了吗。{/n}
きっと わしの美しさに{/n}恐れをなしたに違いない！{/n}カッカッカ！,肯定是 被老夫的美貌{/n}震慑住了吧！{/n}咔咔咔！
{Par}この村は火山の中腹にあるんだ。{/n}いつ噴火するかとドキドキだよ！{/n},{Par}这个村子在火山半山腰哦。{/n}随时可能喷发{/n}真是让人提心吊胆啊！
{Par}村の東の奥には その昔、{/n}火山の地下に通づる道が{/n}あったというが…,{Par}据说村子东边深处{/n}古时候有通往{/n}火山地下的道路来着…
火山の活動が活発になったとき、{/n}地崩れで 入り口は{/n}ふさがってしまったのじゃよ。,不过火山活动变得活跃时、{/n}入口就因为塌方被{/n}土石堵住了呢。
{Par}なんか ものすんごく{/n}身体中が痛いんだけど…{/n},{Par}不知为何全身{/n}疼得厉害啊…{/n}
そんなに疲れるほど{/n}働いた覚えは{/n}ないんだけどなぁ…。,明明不记得自己{/n}干过什么累到{/n}这种程度的活计啊…。
{Par}昔は 村はずれにあった通路で、{/n}山の向こうに行けたそうだよ。{/n},{Par}以前村郊有个通道{/n}能通往山的另一侧呢。{/n}
いったい何があるんだろうね。{/n}{/n},到底有什么东西呢。{/n}{/n}
{Par}激しい吹雪に 立ち尽くし{/n}わが悲しみ いやされるまで{/n}いつまでも…,{Par}伫立于暴风雪中{/n}直至吾之悲伤被抚平{/n}直到永远…
この寒さが オレを詩人にさせる。{/n}おっと、ホれちゃいけないぜ、{/n}おじょうちゃん！,这寒冷让老子成为诗人。{/n}哎呀、可别感冒了哦、{/n}小姑娘！
{Par}わたしのフェリオちゃん、{/n}いつの間に いなくなって{/n}しまったの？,{Par}我的小菲力欧{/n}是什么时候{/n}消失不见的？
{Par}しばらく前までは{/n}こんなに寒い村じゃ{/n}なかったんだけどね。,{Par}不久前这里还不是{/n}这么寒冷的村子呢。{/n}
だんだん寒くなって、{/n}だんだん氷が張ってきて…特に{/n}村の東の方なんかすごいでしょ？,渐渐变冷、{/n}渐渐结冰…尤其是{/n}村子东边特别严重吧？
{Par}行くところ行くところ、人の心を{/n}うるおして、そして人知れず{/n}去って行く 笛吹きの少年…,{Par}所到之处 滋润人心{/n}又悄然离去的吹笛少年…{/n}
ファンタジックよねぇ！{/n}{/n},真是充满幻想呢！{/n}{/n}
{Par}フェリオ、カムバーック！{/n}{/n},{Par}菲力欧、快回来！{/n}{/n}
{Par}旅芸人たちもいなくなり…{/n}{/n},{Par}云游艺人们也都不见了…{/n}{/n}
また、こんな{/n}こごえるような寒さの村で、{/n}いつもの生活が始まるのね…。,又要在这冰封般的{/n}寒冷村子里{/n}开始往常的生活了…
{Par}あーあ、つまんないの。{/n}{/n},{Par}啊——真无聊。{/n}{/n}
あの笛を聞いていれば、{/n}氷に包まれた心も{/n}ホカホカに暖まったのに。,要是能听着那笛声、{/n}被冰封的心{/n}也会变得暖烘烘的。
{Par}旅芸人は二人とも いつの間にか{/n}村を出ていったんですってね。{/n},{Par}听说那两个云游艺人{/n}不知何时离开村子了。{/n}
とりあえず 村が{/n}静かになって、うれしいような{/n}さびしいような気持ちだわ。,村子恢复平静以后{/n}心情既高兴{/n}又有点寂寞呢。
{Par}オレってば、ついさっきまで{/n}何かに 夢中！{/n},{Par}本大爷刚才{/n}明明沉醉于某件事！{/n}
…だった気がするんだけどなぁ。{/n}何だったかなぁ…{/n},…的感觉来着。{/n}到底是什么呢…{/n}
{Par}あたし、見たわ！{/n}{/n},{Par}我看到了！{/n}{/n}
フェリオ、逃げるように{/n}村を出ていったのよ！{/n},菲力欧像逃跑似的{/n}离开村子了哦！{/n}
きっと 何かあったんだわよ！{/n}{/n},肯定发生了什么！{/n}{/n}
{Par}フェリオってコは とっくに{/n}いなくなっちまったんだって？{/n},{Par}听说菲力欧那家伙{/n}早就消失不见了？{/n}
ひどいよ！{/n}このあたしは まだ全然{/n}見たことないってのにさ！,太过分了！{/n}明明人家还{/n}完全没见过他啊！
{Par}あの踊ってるおねえちゃんが{/n}いなくなって、とうちゃんは{/n}ものすごく さびしそうなんだ。,{Par}自从那位跳舞的姐姐{/n}消失后、爸爸就{/n}显得特别寂寞。
それで かあちゃんのキゲンは{/n}サイアクなんだ。{/n},所以妈妈的心情{/n}糟糕透顶了。{/n}
{Par}わたしゃ あんまり 覚えが{/n}ないんですが、ここしばらく{/n}踊り子に夢中になっていたとか。,{Par}老夫不怎么记得了、{/n}不过最近好像{/n}沉迷于某个舞娘呢。
しかも、それが ナイスバディで{/n}超プリティな踊り子だったとか！{/n},而且还是 身材火辣{/n}超级漂亮的舞娘！{/n}
ああ！ それを覚えがないなんて{/n}オレのバカバカバカバカ！{/n},啊啊！ 居然不记得这种事{/n}老夫真是笨蛋笨蛋大笨蛋！{/n}
{Par}村のはずれには、{/n}ラファーガという{/n}大男が住んでいる。,{Par}村郊住着名叫{/n}拉法格的{/n}彪形大汉。
なんでも昔は 勇名をはせた{/n}武人だったというウワサじゃ。{/n},传闻他过去曾是{/n}赫赫有名的武者。{/n}
しかし、そんな者が{/n}なぜに こんなさびれた村に{/n}身をやつしているのかのぅ。,但这样的男人{/n}为何会隐居在{/n}如此荒僻的村子呢。
{Par}この寒さは 年寄りには{/n}こたえるのぅ。{/n},{Par}这般寒冷{/n}老人家可吃不消啊。{/n}
{Par}世の中、ふしぎなことも{/n}あるもんですな。{/n},{Par}这世间真是{/n}无奇不有啊。{/n}
{Par}この村から先へ行きたいの？{/n}{/n},{Par}想从这个村子继续前进？{/n}{/n}
一番近いのは たぶん、{/n}おとなりのアイアイの村だけど…{/n},最近的应该只有{/n}隔壁的艾艾村…{/n}
でも、村の北にある火山の地下道は{/n}入り口がふさがっちゃってるし…{/n},但村子北边的火山地下道{/n}入口被堵住了…{/n}
そうだ！ 村はずれに住む{/n}ラファーガさんに{/n}話を聞いてみたら？,对了！ 去问问住在村郊的{/n}拉法格先生吧？{/n}
なんでも昔は 高名な武人だった{/n}らしいから、何かいい方法を{/n}教えてくれるかもしれないわ。,既然他过去是有名的武者、{/n}说不定能教你们{/n}什么好方法呢。
{Par}ラファーガさんに{/n}話を聞いてみた？{/n},{Par}问过拉法格先生了吗？{/n}{/n}
村の北東のはずれ、{/n}一番吹雪のひどいところに{/n}ひとりで住んでいるのよ。,村子东北郊外、{/n}暴风雪最猛烈的地方{/n}有他独居的房子哦。
{Par}ラファーガさんに会えたのね？{/n}それは よかったわ！{/n},{Par}见到拉法格先生了吧？{/n}太好了！{/n}
{Par}また 会えるといいな。{/n}{/n},{Par}希望能再见面。{/n}{/n}
{Par}わしは この村はずれに ひとり、{/n}世を忍んで暮らす ばばあじゃ。{/n},{Par}老身是隐居在{/n}这村郊的老太婆。{/n}
おぬしら、ここを見つけるとは{/n}見上げたものよのぅ。{/n},能找到这里{/n}真是了不起啊。{/n}
ほうびに、わしが{/n}この部屋にかくした 宝をやろう。{/n}探してみるがよいぞ。,作为奖励、就把老身{/n}藏在这个房间的宝物给你们吧。{/n}试着找找看吧。
{Par}「柱」に甘えてばかりで{/n}何の疑問も持たない者たちが{/n}わしは いやになったのじゃ。,{Par}那些只会依赖「柱」{/n}却毫无质疑之心的家伙们{/n}让老身心生厌恶。
だから こんなところで{/n}こんな生活をしておる。{/n},所以才在这种地方{/n}过着这样的生活。{/n}
最近の魔物騒ぎも、エメロード姫が{/n}われわれを いましめようと{/n}なさっているのではないのかのぅ。,最近的魔物骚动、{/n}恐怕也是艾美诺公主{/n}在警示我们吧。
{Par}うわー、すごい！{/n}これ、氷だよ！{/n},{Par}哇——好厉害！{/n}这是冰雕！{/n}
{Par}氷のオブジェだわ。{/n}この吹雪で こんなものが{/n}できたのかしら？,{Par}冰雕艺术品呢。{/n}是这场暴风雪{/n}造就的吗？
{Par}こんな芸術をも{/n}作り出してしまうとは、{/n}自然とは偉大な存在ですわね。,{Par}连这样的艺术品{/n}都能创造出来、{/n}大自然真是伟大的存在呢。
{Par}穴が 大きな岩でふさがれている。{/n}ちょっとやそっとじゃ{/n}びくともしそうもないなぁ。,{Par}洞口被巨大岩石堵住了。{/n}就凭这点力气{/n}根本纹丝不动嘛。
{Par}大きな穴の入り口が{/n}氷の岩でふさがってるわ。{/n},{Par}巨大的洞口被{/n}冰岩堵住了。{/n}
{Par}どうくつの入口に{/n}大きな氷の岩があって{/n}行く手をさえぎっていますわ。,{Par}洞窟入口处{/n}有巨大的冰岩{/n}阻挡了去路。
{Par}これがウワサの火山の地下道だね。ローゼンから 先に行くには、{/n}この岩をなんとかしないと…！,{Par}这就是传闻中的火山地道。{/n}要从罗森继续前进、{/n}必须解决这块岩石…！
{Par}火山の地下道を通るためには、{/n}この大岩がジャマね。{/n}なんとかできないのかしら…？,{Par}要通过火山地道、{/n}这块巨岩很碍事呢。{/n}没办法解决吗…？
{Par}この岩を なんとかして{/n}どかさないと、いつまでたっても{/n}進展はありませんわ。,{Par}不设法移开这块岩石、{/n}就永远无法{/n}取得进展呢。
{Par}よぉし、ラファーガから教わった{/n}「重衝粉砕弾」で{/n}この岩を こわそう！,{Par}好、用拉法格传授的{/n}「重冲粉碎弹」{/n}破坏这块岩石吧！
{Par}「重衝粉砕弾」があれば{/n}こんな岩、「ヘ」でもないわ！{/n},{Par}有「重冲粉碎弹」的话{/n}这种破石头根本不在话下！{/n}
